id,姓名,实验组数,实验组编号,模式切换技术,目标颜色,目标粗细,开始时间,结束时间,颜色切换时间,像素切换时间,模式切换总时间,绘制完整时间,误触发总数,颜色切换错误数,像素切换错误数,模式切换总错误数,压力1,压力2,压力平均值,方位角1,方位角2,方位角平均值,倾斜角1,倾斜角2,倾斜角平均值,轨道偏出量
1,wjm,1,1,P-离散值,红色,4,13:20:09:274,13:20:18:06,2401,1962,4363,8748,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2,wjm,1,2,P-离散值,红色,2,13:20:09:274,13:20:18:06,1522,2224,3746,7265,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6
3,wjm,1,3,P-离散值,黄色,3,13:20:09:274,13:20:18:06,3719,2547,6266,9694,1,0,0,0,0,0,0,0,0,0,0,0,0,19.5
4,wjm,1,4,P-离散值,黄色,4,13:20:09:274,13:20:18:06,2008,3912,5920,9832,0,1,1,2,0,0,0,0,0,0,0,0,0,6.6
5,wjm,1,5,P-离散值,蓝色,4,13:20:09:274,13:20:18:06,2412,2676,5088,8069,0,0,0,0,0,0,0,0,0,0,0,0,0,18.667
6,wjm,1,6,P-离散值,红色,3,13:20:09:274,13:20:18:06,3269,3213,6482,8906,0,0,0,0,0,0,0,0,0,0,0,0,0,9.833
7,wjm,1,7,P-离散值,黄色,2,13:20:09:274,13:20:18:06,2470,2264,4734,7316,0,0,0,0,0,0,0,0,0,0,0,0,0,10
8,wjm,1,8,P-离散值,蓝色,3,13:20:09:274,13:20:18:06,8167,4562,12729,11137,0,1,0,1,0,0,0,0,0,0,0,0,0,14.429
9,wjm,1,9,P-离散值,蓝色,2,13:20:09:274,13:20:18:06,4456,2194,6650,9792,0,0,0,0,0,0,0,0,0,0,0,0,0,12.625
10,wjm,2,1,P-离散值,黄色,3,13:22:17:737,13:22:32:184,7661,7540,15201,13418,1,0,0,0,0,0,0,0,0,0,0,0,0,23.667
11,wjm,2,2,P-离散值,蓝色,4,13:22:17:737,13:22:32:184,3431,4075,7506,10547,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5
12,wjm,2,3,P-离散值,黄色,4,13:22:17:737,13:22:32:184,2580,2062,4642,7648,0,0,0,0,0,0,0,0,0,0,0,0,0,24
13,wjm,2,4,P-离散值,蓝色,2,13:22:17:737,13:22:32:184,2942,2233,5175,7779,0,0,0,0,0,0,0,0,0,0,0,0,0,9.333
14,wjm,2,5,P-离散值,红色,4,13:22:17:737,13:22:32:184,1793,5060,6853,9404,0,1,0,1,0,0,0,0,0,0,0,0,0,16
15,wjm,2,6,P-离散值,红色,3,13:22:17:737,13:22:32:184,2664,1872,4536,7492,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5
16,wjm,2,7,P-离散值,黄色,2,13:22:17:737,13:22:32:184,2507,2950,5457,8211,0,0,0,0,0,0,0,0,0,0,0,0,0,7
17,wjm,2,8,P-离散值,蓝色,3,13:22:17:737,13:22:32:184,3042,2397,5439,8136,0,0,0,0,0,0,0,0,0,0,0,0,0,6.333
18,wjm,2,9,P-离散值,红色,2,13:22:17:737,13:22:32:184,2697,2741,5438,8392,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4
19,xyz,1,1,P-离散值,蓝色,2,13:24:40:754,13:25:06:945,-1.64E+12,7125,-1.64E+12,26191,1,1,0,1,0,0,0,0,0,0,0,0,0,16.375
20,xyz,1,2,P-离散值,红色,2,13:24:40:754,13:25:06:945,5809,12582,18391,24127,0,0,0,0,0,0,0,0,0,0,0,0,0,5.273
21,xyz,1,3,P-离散值,黄色,2,13:24:40:754,13:25:06:945,10309,-5985,4324,17403,1,1,0,1,0,0,0,0,0,0,0,0,0,6.667
22,xyz,1,4,P-离散值,蓝色,3,13:24:40:754,13:25:06:945,6676,2990,9666,15520,1,1,0,1,0,0,0,0,0,0,0,0,0,27
23,xyz,1,5,P-离散值,蓝色,4,13:24:40:754,13:25:06:945,7404,7720,15124,21778,1,1,1,2,0,0,0,0,0,0,0,0,0,4.625
24,xyz,1,6,P-离散值,红色,3,13:24:40:754,13:25:06:945,2335,3266,5601,16239,1,0,0,0,0,0,0,0,0,0,0,0,0,5.909
25,xyz,1,7,P-离散值,黄色,3,13:24:40:754,13:25:06:945,6606,5979,12585,11959,0,0,0,0,0,0,0,0,0,0,0,0,0,5
26,xyz,1,8,P-离散值,红色,4,13:24:40:754,13:25:06:945,3178,3853,7031,11603,0,0,1,1,0,0,0,0,0,0,0,0,0,12.714
27,xyz,1,9,P-离散值,黄色,4,13:24:40:754,13:25:06:945,2916,3960,6876,10538,0,0,1,1,0,0,0,0,0,0,0,0,0,9.6
28,xyz,2,1,P-离散值,红色,3,13:28:12:700,13:28:23:115,3156,3346,6502,10416,0,0,0,0,0,0,0,0,0,0,0,0,0,22.167
29,xyz,2,2,P-离散值,红色,2,13:28:12:700,13:28:23:115,3106,3422,6528,9399,0,0,0,0,0,0,0,0,0,0,0,0,0,12.375
30,xyz,2,3,P-离散值,蓝色,2,13:28:12:700,13:28:23:115,4113,2592,6705,9648,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
31,xyz,2,4,P-离散值,红色,4,13:28:12:700,13:28:23:115,4428,3274,7702,11638,0,0,0,0,0,0,0,0,0,0,0,0,0,6
32,xyz,2,5,P-离散值,黄色,3,13:28:12:700,13:28:23:115,2043,2797,4840,7451,0,0,0,0,0,0,0,0,0,0,0,0,0,7.222
33,xyz,2,6,P-离散值,蓝色,4,13:28:12:700,13:28:23:115,3343,3878,7221,10150,0,1,1,2,0,0,0,0,0,0,0,0,0,6.625
34,xyz,2,7,P-离散值,黄色,2,13:28:12:700,13:28:23:115,2543,2038,4581,7661,0,0,0,0,0,0,0,0,0,0,0,0,0,15.818
