姓名,实验组数,一组实验次数,模式切换技术,目标颜色,目标粗细,开始时间,结束时间,颜色切换时间,像素切换时间,模式切换总时间,绘制完整时间,第一段绘制时间,第二段绘制时间,第三段绘制时间,误触发总数,颜色切换错误数,像素切换错误数,模式切换总错误数,压力1,压力2,压力平均值,方位角1,方位角2,方位角平均值,倾斜角1,倾斜角2,倾斜角平均值,
,1,1,P-实际值,蓝色,3.0,11:32:51:354,11:32:59:807,1752,2403,4155,7280,2303,2406,919,0,0,1,1,0,0,339,0,0,0,0,0,0,
,1,2,P-实际值,蓝色,2.0,11:32:51:354,11:32:59:807,2371,3834,6205,8200,2658,3837,552,0,0,0,1,0,0,393,0,0,0,0,0,0,
,1,3,P-实际值,蓝色,4.0,11:32:51:354,11:32:59:807,1626,2710,4336,6674,1931,2716,722,0,0,0,1,0,0,387,0,0,0,0,0,0,
,1,1,P-实际值,红色,2.0,11:39:08:273,11:39:16:135,4959,3004,7963,6812,2484,3007,616,0,0,0,0,0,0,362,0,0,0,0,0,0,
,1,1,T-实际值,蓝色,2.0,12:01:40:703,12:01:53:776,4084,-1614916913165,-1614916909081,9018,5529,611,853,0,1,1,2,0,0,0,0,0,0,0,0,59,
,1,1,P-实际值,黄色,2.0,16:04:58:655,16:04:59:750,-1614931499093,-1614931499499,-3229862998592,1000,293,251,202,0,1,1,2,0,0,0,0,0,0,0,0,0,
,1,2,P-实际值,红色,4.0,16:04:58:655,16:04:59:750,-1614931505997,-1614931506403,-3229863012400,1002,328,251,219,0,1,1,4,0,0,0,0,0,0,0,0,0,
,1,3,P-实际值,黄色,3.0,16:04:58:655,16:04:59:750,-1614931508921,-1614931509382,-3229863018303,889,334,130,189,0,1,1,6,0,0,0,0,0,0,0,0,0,
,1,4,P-实际值,黄色,4.0,16:04:58:655,16:04:59:750,-1614931511586,-1614931512010,-3229863023596,897,314,158,219,0,1,1,8,0,0,0,0,0,0,0,0,0,
,1,5,P-实际值,蓝色,4.0,16:04:58:655,16:04:59:750,-1614931515279,-1614931515717,-3229863030996,909,298,126,220,0,1,1,10,0,0,0,0,0,0,0,0,0,
,1,6,P-实际值,红色,2.0,16:04:58:655,16:04:59:750,-1614931518792,-1614931519217,-3229863038009,894,284,125,219,0,1,1,12,0,0,0,0,0,0,0,0,0,
,1,7,P-实际值,蓝色,2.0,16:04:58:655,16:04:59:750,-1614931523384,-1614931523993,-3229863047377,1023,343,16,271,0,1,1,14,0,0,0,0,0,0,0,0,0,
,1,8,P-实际值,红色,3.0,16:04:58:655,16:04:59:750,-1614931526320,-1614931526851,-3229863053171,990,328,94,220,0,1,1,16,0,0,0,0,0,0,0,0,0,
,1,9,P-实际值,蓝色,3.0,16:04:58:655,16:04:59:750,-1614931529319,-1614931529742,-3229863059061,835,282,114,188,0,1,1,18,0,0,0,0,0,0,0,0,0,
,1,1,T-实际值,蓝色,3.0,16:07:03:25,16:07:03:935,-1614931623230,-1614931623746,-3229863246976,1050,375,189,203,0,1,1,2,0,0,0,0,0,0,0,0,0,
,1,2,T-实际值,红色,2.0,16:07:03:25,16:07:03:935,-1614931630749,-1614931631289,-3229863262038,1149,336,219,249,0,1,1,4,0,0,0,0,0,0,0,0,0,
,1,3,T-实际值,黄色,2.0,16:07:03:25,16:07:03:935,-1614931633685,-1614931634113,-3229863267798,966,287,188,240,0,1,1,6,0,0,0,0,0,0,0,0,0,
,1,4,T-实际值,蓝色,2.0,16:07:03:25,16:07:03:935,-1614931636533,-1614931637005,-3229863273538,927,329,125,205,0,1,1,8,0,0,0,0,0,0,0,0,0,
,1,5,T-实际值,红色,3.0,16:07:03:25,16:07:03:935,-1614931639491,-1614931640008,-3229863279499,976,346,126,207,0,1,1,10,0,0,0,0,0,0,0,0,0,
,1,6,T-实际值,红色,4.0,16:07:03:25,16:07:03:935,-1614931642478,-1614931642948,-3229863285426,1115,328,142,344,0,1,1,12,0,0,0,0,0,0,0,0,0,
