id,姓名,实验组数,实验组编号,模式切换技术,目标颜色,目标粗细,开始时间,结束时间,颜色切换时间,像素切换时间,模式切换总时间,绘制完整时间,第一段绘制时间,第二段绘制时间,第三段绘制时间,误触发总数,颜色切换错误数,像素切换错误数,模式切换总错误数,压力1,压力2,压力平均值,方位角1,方位角2,方位角平均值,倾斜角1,倾斜角2,倾斜角平均值,轨道偏出量
1,,1,1,P-实际值,黄色,3.0,20:50:44:487,20:50:48:786,-1618318245724,-1618318248581,-3236636494305,4535,1857,205,1254,0,1,1,2,0,0,0,0,0,0,0,0,0,6,
2,,1,1,P-实际值,黄色,3.0,20:50:44:487,20:50:48:786,-1618318245724,-1618318248581,-3236636494305,4535,1857,205,1254,0,1,1,2,0,0,0,0,0,0,0,0,0,10,
3,,1,1,P-实际值,黄色,3.0,20:50:44:487,20:50:48:786,-1618318245724,-1618318248581,-3236636494305,4535,1857,205,1254,0,1,1,2,0,0,0,0,0,0,0,0,0,10,
4,,1,1,P-实际值,黄色,3.0,20:50:44:487,20:50:48:786,-1618318245724,-1618318248581,-3236636494305,4535,1857,205,1254,0,1,1,2,0,0,0,0,0,0,0,0,0,5,
5,,1,1,P-实际值,黄色,3.0,20:50:44:487,20:50:48:786,-1618318245724,-1618318248581,-3236636494305,4535,1857,205,1254,0,1,1,2,0,0,0,0,0,0,0,0,0,4,
6,,1,1,P-实际值,黄色,3.0,20:50:44:487,20:50:48:786,-1618318245724,-1618318248581,-3236636494305,4535,1857,205,1254,0,1,1,2,0,0,0,0,0,0,0,0,0,10,
7,,1,1,P-实际值,黄色,3.0,20:50:44:487,20:50:48:786,-1618318245724,-1618318248581,-3236636494305,4535,1857,205,1254,0,1,1,2,0,0,0,0,0,0,0,0,0,10,
8,,1,1,P-实际值,黄色,3.0,20:50:44:487,20:50:48:786,-1618318245724,-1618318248581,-3236636494305,4535,1857,205,1254,0,1,1,2,0,0,0,0,0,0,0,0,0,12,
9,,1,1,P-实际值,黄色,3.0,20:50:44:487,20:50:48:786,-1618318245724,-1618318248581,-3236636494305,4535,1857,205,1254,0,1,1,2,0,0,0,0,0,0,0,0,0,13,
10,,1,1,P-实际值,黄色,3.0,20:50:44:487,20:50:48:786,-1618318245724,-1618318248581,-3236636494305,4535,1857,205,1254,0,1,1,2,0,0,0,0,0,0,0,0,0,13,
11,,1,1,P-实际值,黄色,3.0,20:50:44:487,20:50:48:786,-1618318245724,-1618318248581,-3236636494305,4535,1857,205,1254,0,1,1,2,0,0,0,0,0,0,0,0,0,13,
12,,1,1,P-实际值,黄色,3.0,20:50:44:487,20:50:48:786,-1618318245724,-1618318248581,-3236636494305,4535,1857,205,1254,0,1,1,2,0,0,0,0,0,0,0,0,0,13,
